Onnett_id;Osall_id;Henkilo_id;Osnro;Kulj_matk;Ikä;Sukupuoli;Kortti;Seuraus;Seuraussel;Kulj_kans;Ajokortlk;Ajokortikä
6892320;11657032;11495616;1;MA;30;N; ;0;ei henkilövahinkoa;SF ;            ;
6892320;11657032;11495617;1;KU;38;N; ;0;ei henkilövahinkoa;SF ;BE          ;21
6892320;11657033;11495618;2;XX;; ; ;-;NA;   ;            ;
6867575;11657034;11495619;1;KU;46;N; ;0;ei henkilövahinkoa;SF ;            ;27
6867575;11657034;11495620;1;MA;15;N; ;L;loukkaantunut;SF ;            ;
6867575;11657034;11495621;1;MA;6;N; ;0;ei henkilövahinkoa;SF ;            ;
6844060;11657049;11495636;1;KU;34;M; ;0;ei henkilövahinkoa;SF ;B           ;17
6844060;11657050;11495637;2;KU;15;M; ;L;loukkaantunut;   ;AM          ;0
6842118;11657051;11495638;1;KU;47;M; ;0;ei henkilövahinkoa;SF ;B           ;6
6892326;11657054;11495641;1;KU;19;N;X;0;ei henkilövahinkoa;SF ;B           ;
6867502;11657055;11495642;1;KU;28;M; ;0;ei henkilövahinkoa;SF ;            ;10
6867502;11657056;11495643;2;KU;33;N; ;L;loukkaantunut;SF ;            ;15
6868441;11657274;11495651;1;KU;34;N; ;0;ei henkilövahinkoa;SF ;B           ;17
6868441;11657275;11495652;2;KU;29;N; ;0;ei henkilövahinkoa;SF ;B           ;12
6868441;11657276;11495653;3;KU;20;M; ;0;ei henkilövahinkoa;SF ;A1B         ;
6788497;11657277;11495654;1;MA;15;N; ;0;ei henkilövahinkoa;SF ;            ;
6788497;11657277;11495655;1;KU;17;M; ;0;ei henkilövahinkoa;SF ;AM          ;
6844889;11657278;11495656;1;KU;75;M; ;0;ei henkilövahinkoa;SF ;ABE         ;44
6844889;11657279;11495657;2;KU;31;M; ;0;ei henkilövahinkoa;SF ;ABCD        ;14
6840202;11657280;11495658;1;KU;18;N; ;0;ei henkilövahinkoa;SF ;            ;
6903677;11657283;11495661;1;KU;16;M; ;0;ei henkilövahinkoa;SF ;            ;1
6903677;11657284;11495662;2;KU;12;N; ;L;loukkaantunut;SF ;            ;
6902784;11657285;11495663;1;KU;21;N; ;L;loukkaantunut;SF ;AB          ;5
6891693;11657286;11495664;1;KU;82;M; ;0;ei henkilövahinkoa;SF ;AB          ;44
6891693;11657287;11495665;2;KU;36;M; ;0;ei henkilövahinkoa;ETH;B           ;4
6888166;11657290;11495668;1;MA;61;N; ;0;ei henkilövahinkoa;SF ;            ;
6888166;11657290;11495669;1;KU;60;M; ;0;ei henkilövahinkoa;SF ;            ;43
6888166;11657291;11495670;2;KU;26;M; ;0;ei henkilövahinkoa;SF ;            ;8
6891694;11657294;11495938;1;KU;42;M; ;0;ei henkilövahinkoa;SF ;ABEC        ;25
6890583;11657295;11495939;1;KU;27;N; ;0;ei henkilövahinkoa;PL ;            ;
6890583;11657296;11495940;2;KU;25;M; ;L;loukkaantunut;   ;            ;
6903336;11657297;11495941;1;KU;40;M; ;L;loukkaantunut;SF ;BC          ;22
6903336;11657298;11495942;2;KU;56;M; ;0;ei henkilövahinkoa;SF ;ABEC        ;39
6890467;11657299;11495943;1;KU;32;N; ;0;ei henkilövahinkoa;SF ;B           ;14
6890467;11657300;11495944;2;KU;38;M; ;0;ei henkilövahinkoa;SF ;AB          ;20
6892334;11657301;11495945;1;KU;53;M; ;0;ei henkilövahinkoa;SF ;            ;36
6892334;11657302;11495946;2;KU;40;M; ;0;ei henkilövahinkoa;SF ;            ;23
6890469;11657306;11495950;1;KU;60;N; ;0;ei henkilövahinkoa;SF ;            ;42
6890469;11657306;11495951;1;MA;60;M; ;0;ei henkilövahinkoa;SF ;            ;
6890469;11657307;11495952;2;KU;15;M; ;L;loukkaantunut;   ;            ;0
6890471;11657320;11495969;1;KU;27;M; ;0;ei henkilövahinkoa;BG ;B           ;
6890471;11657321;11495970;2;KU;23;M; ;0;ei henkilövahinkoa;COD;A1B         ;
6867573;11657326;11495975;1;KU;22;M; ;K;kuollut;SF ;            ;4
6867573;11657326;11495976;1;MA;33;M; ;K;kuollut;SF ;            ;
6867573;11657326;11495977;1;MA;19;N; ;K;kuollut;SF ;            ;
