Onnett_id;Osall_id;Osnro;Oslaji;Oslajisel;Peräv;Perävsel;Ajolaji;Ajolajisel;Kuollut;Loukk;Ajoneuvika;Ajoneuvmas
6890491;11657853;1;32;kuorma-auto;-1;Ei arvoa;-1;Ei arvoa;0;0;6;3760
6890491;11657854;2;32;kuorma-auto;2;varsinainen perävaunu;1;ammattimaisessa ajossa;0;0;1;13500
6842977;11657855;1;32;kuorma-auto;-1;Ei arvoa;-1;Ei arvoa;0;0;10;15580
6842977;11657856;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;6;1555
6842012;11657862;1;12;mopedi;-1;Ei arvoa;-1;Ei arvoa;0;1;0;92
6842012;11657863;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;22;1020
6842013;11657866;1;12;mopedi;-1;Ei arvoa;-1;Ei arvoa;0;1;0;100
6842013;11657867;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;26;1100
6866585;11657868;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;15;935
6866585;11657869;2;21;moottoripyörä;-1;Ei arvoa;-1;Ei arvoa;0;0;2;194
6890492;11657870;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;10;1260
6890493;11657873;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;5;1594
6890493;11657874;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;19;1190
6869028;11657877;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;1;0;1167
6869029;11657878;1;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;11;1393
6869029;11657879;2;20;kevytmoottoripyörä(<125cc);-1;Ei arvoa;-1;Ei arvoa;0;2;0;132
6867639;11657880;1;11;polkupyöräilijä;-1;Ei arvoa;-1;Ei arvoa;0;1;;
6867639;11657881;2;30;henkilöauto;-1;Ei arvoa;-1;Ei arvoa;0;0;11;1025
